,Company,# Laid Off,% Laid Off,Date Added,Ticker,$ Change 5D,% Change 5D,$ Change 1Y,% Change 1Y
22,Seagate,3000.0,8%,3/31/2023,STX,-1.17,-1.91,28.33,46.2
23,SAP,3000.0,3%,1/26/2023,SAP,4.26,3.88,60.14,54.75
24,Xerox,3000.0,15%,2/29/2024,XRX,0.12,0.75,-10.09,-61.21
25,Uber,3000.0,13%,5/18/2020,UBER,1.21,3.6,15.55,46.25
26,Peloton,2800.0,20%,2/8/2022,PTON,-4.44,-11.91,-21.84,-58.6
27,Groupon,2800.0,44%,4/13/2020,GRPN,1.2,6.9,30.67,176.26
28,PayPal,2500.0,9%,1/30/2024,PYPL,-2.14,-3.36,25.08,39.38
29,Carvana,2500.0,12%,5/10/2022,CVNA,1.72,4.69,-23.53,-64.15
30,Hewlett Packard Enterprise,2500.0,5%,3/7/2025,HPE,-0.71,-4.55,9.31,60.13
31,Micron,2400.0,5%,3/31/2023,MU,-3.28,-5.5,57.67,96.92
32,Shopify,2300.0,20%,5/4/2023,SHOP,6.59,11.5,17.16,29.95
33,Zillow,2000.0,25%,11/2/2021,Z,-19.53,-22.4,-57.7,-66.17
34,Amdocs,2000.0,6%,1/5/2023,DOX,-1.25,-1.45,-1.43,-1.67
35,PayPal,2000.0,7%,1/31/2023,PYPL,0.84,1.03,-20.14,-24.71
36,Intuit,1800.0,10%,7/10/2024,ISRG,-7.49,-1.68,81.31,18.28
37,Unity,1800.0,25%,1/8/2024,U,-4.39,-11.26,-15.9,-40.79
38,Wayfair,1750.0,10%,1/20/2023,W,9.4,20.09,9.34,19.96
39,Workday,1750.0,8%,2/5/2025,WDAY,-6.29,-2.28,-39.57,-14.33
40,Wayfair,1650.0,13%,1/19/2024,W,-1.36,-2.42,-11.14,-19.85
41,Twilio,1500.0,17%,2/13/2023,TWLO,9.35,15.25,7.98,13.01
42,Expedia,1500.0,8%,2/26/2024,EXPE,1.88,1.4,64.4,48.03
43,Spotify,1500.0,17%,12/4/2023,SPOT,3.88,2.0,299.15,154.07
44,Carvana,1500.0,8%,11/18/2022,CVNA,0.06,0.74,23.97,297.39
45,Stitch Fix,1400.0,18%,6/1/2020,SFIX,1.34,5.67,29.73,125.87
46,Autodesk,1350.0,9%,2/27/2025,ADSK,-14.92,-5.28,25.62,9.07
47,Zoom,1300.0,15%,2/7/2023,ZM,-8.18,-9.66,-20.78,-24.55
48,Stone,1300.0,20%,5/13/2020,STNE,3.25,15.37,35.0,165.48
49,Lam Research,1300.0,7%,2/1/2023,LRCX,-0.91,-1.76,30.3,58.86
50,Snap,1280.0,20%,8/30/2022,SNAP,1.21,12.09,0.11,1.1
51,Qualcomm,1258.0,2%,10/13/2023,QCOM,2.22,2.14,62.14,59.7
52,DoorDash,1250.0,6%,11/30/2022,DASH,-5.02,-8.62,35.73,61.34
53,Coinbase,1100.0,18%,6/14/2022,COIN,-0.36,-0.7,2.32,4.5
54,Sabre,1100.0,15%,5/5/2023,SABR,-0.12,-3.27,-1.09,-29.7
55,Lyft,1072.0,26%,4/21/2023,LYFT,-0.39,-3.74,5.71,54.69
56,AMD,1000.0,4%,11/13/2024,AMD,-0.37,-0.27,77.12,55.36
57,Yelp,1000.0,17%,4/9/2020,YELP,-0.18,-0.91,20.86,105.94
58,Shopify,1000.0,10%,7/26/2022,SHOP,4.89,15.5,33.13,105.01
59,Lilium,1000.0,100%,12/27/2024,LILMF,-0.11,-40.36,-0.24,-85.71
60,Grab,1000.0,11%,6/20/2023,GRAB,-0.18,-5.33,0.15,4.44
61,Salesforce,1000.0,1%,11/8/2022,CRM,11.46,7.86,63.7,43.76
62,Salesforce,1000.0,2%,8/26/2020,CRM,0.33,0.12,-4.48,-1.66
63,Salesforce,1000.0,1%,2/3/2025,CRM,-13.37,-3.95,-88.83,-26.31
64,eBay,1000.0,9%,1/23/2024,EBAY,1.17,2.92,22.99,57.26
65,Lyft,982.0,17%,4/29/2020,LYFT,-7.03,-20.64,23.04,67.65
66,NetApp,960.0,8%,1/31/2023,NTAP,-0.14,-0.23,22.0,35.26
67,Coinbase,950.0,20%,1/10/2023,COIN,6.75,15.61,108.06,249.97
68,TripAdvisor,900.0,25%,4/28/2020,TRIP,-0.38,-1.99,29.75,155.76
69,SolarEdge,900.0,16%,1/21/2024,SEDG,-3.01,-4.19,-58.15,-80.93
70,Jumia,900.0,20%,12/21/2022,JMIA,-0.41,-12.02,0.47,13.78
71,Wayfair,870.0,5%,8/19/2022,W,-1.83,-3.21,13.43,23.56
72,Rivian,840.0,6%,7/27/2022,RIVN,2.8,8.75,-5.96,-18.62
